id,date,type,city,state,ideology,group,description,image
14274,5/31/20,White Supremacist Propaganda,Albany,NY,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Life liberty victory,"" ""America first,"" and ""To ourselves and our posterity.""",https://www.adl.org/sites/default/files/2019-03/PF%20To%20ourselves%20and%20our%20posterity.jpg
14275,5/31/20,White Supremacist Propaganda,Appleton,WI,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Life of our nation liberty of our people victory of the American spirit,"" ""For the nation against the state,"" ""Better dead than red,"" and ""Revolution is tradition.""",https://www.adl.org/sites/default/files/2020-02/PF%20Revolution%20is%20tradition_sample.jpg
14276,5/31/20,White Supremacist Propaganda,Austin,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed American flag themed stickers with the QR code for Patriot Front and propaganda that read: ""Better dead than red,"" ""Not stolen conquered,"" ""America is not for sale,"" and ""Life liberty victory.""",https://www.adl.org/sites/default/files/2020-02/PF%20America%20is%20not%20for%20sale_sample.jpg
14277,5/31/20,White Supremacist Propaganda,Beaverton,OR,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Better dead than red,"" ""One nation against invasion,"" and ""Revolution is tradition.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Better%20dead%20than%20red%20sticker_sample.jpg
14278,5/31/20,White Supremacist Propaganda,Bel Air,MD,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed American flag themed stickers with the QR code for Patriot Front and propaganda that read: ""America is not for sale,"" ""Our tradition is revolution,"" and ""Life liberty victory.""",https://www.adl.org/sites/default/files/2020-02/PF%20America%20is%20not%20for%20sale_sample.jpg
14279,5/31/20,White Supremacist Propaganda,Boonton,NJ,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed American flag themed stickers with the QR code for Patriot Front and propaganda that read: ""America is not for sale,"" ""Life liberty victory,"" and ""United we stand.""",https://www.adl.org/sites/default/files/2020-02/PF%20America%20is%20not%20for%20sale_sample.jpg
14280,5/31/20,White Supremacist Propaganda,Brandon,VT,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed American flag themed stickers with the QR code for Patriot Front and propaganda that read: ""Life liberty victory.""",
14281,5/31/20,White Supremacist Propaganda,Brenham,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Life of our nation liberty of our people victory of the American spirit,"" ""America first,"" ""Better dead than red,"" and ""To ourselves and our posterity.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20America%20First_sample.jpg
14282,5/31/20,White Supremacist Propaganda,Bromley,KY,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""For the nation against the state,"" ""Not stolen conquered,"" and ""America first.""",https://www.adl.org/sites/default/files/2020-02/PF%20For%20the%20nation_sample.jpg
14283,5/31/20,White Supremacist Propaganda,Burlington,VT,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Better dead than red,"" ""To ourselves and our posterity,"" ""Life liberty victory,"" ""Reject poison,"" and ""America first.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20America%20First_sample.jpg
14284,5/31/20,White Supremacist Propaganda,Burlington,VT,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, painted graffiti that read: ""Patriotfront.us.""",
14285,5/31/20,White Supremacist Propaganda,Cincinnati,OH,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America first,"" ""Reject poison,"" ""Life liberty victory,"" and ""Not stolen conquered.""",https://www.adl.org/sites/default/files/2019-11/November%202019_PF%20Reject%20poison_sample.jpg
14286,5/31/20,White Supremacist Propaganda,Clayton,NC,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""America is not for sale,"" ""Not stolen conquered,"" ""Life liberty victory,"" and ""For the nation against the state.""",https://www.adl.org/sites/default/files/2020-02/PF%20For%20the%20nation_sample.jpg
14287,5/31/20,White Supremacist Propaganda,College Station,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""Better dead than red,"" ""For the nation against the state,"" and ""One nation against invasion.""",https://www.adl.org/sites/default/files/2020-02/PF%20One%20nation%20against%20invasion_sample.jpg
14288,5/31/20,White Supremacist Propaganda,Colleyville,TX,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed propaganda that read: ""For the nation against the state,"" ""Life liberty victory,"" and ""Our tradition is revolution.""",https://www.adl.org/sites/default/files/2020-02/PF%20For%20the%20nation_sample.jpg
14289,5/31/20,White Supremacist Propaganda,Hempstead,NY,Right Wing (White Supremacist),New Jersey European Heritage Association,"New Jersey European Heritage Association, an alt right group, distributed propaganda with the QR code for New Jersey European Heritage Association that read: ""Migrants accepted now we are infected.""",
14290,5/31/20,White Supremacist Propaganda,Indianapolis,IN,Right Wing (White Supremacist),Revolt Through Tradition,"Revolt Through Tradition, an alt right group, distributed propaganda featuring the group's logo that read: ""Revolt through Tradition"" and ""Learn train preserve.""",
14291,5/31/20,White Supremacist Propaganda,Kearney,NE,Right Wing (White Supremacist),Patriot Front,"Patriot Front, an alt right group, distributed American flag themed stickers with the QR code for Patriot Front and propaganda that read: ""For the nation against the state,"" ""Reclaim America,"" and ""Patriotfront.us.""",https://www.adl.org/sites/default/files/2019-03/PF%20reclaim%20America.jpg
